geo,name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
geo,Georgia,671.63,684.84,684.54,715.25,771.17,808.41,845.47,896.58,938.59,968.46,955.13,924.07,908.39,839.73,785.52,753.03,752.79,772.45,829.06,879.76,893.2,907.34,908.29,871.37,825.69,768.39,793.04,791.21,839.3,885.78,933.33,975.56,988.23,974.59,979.86,1047.74,1113.95,1090.73,1030.26,978.86,989.41,957.31,903.6,864.75
gha,Ghana,446.2,470.04,494.82,517.23,544.06,574.17,607.26,637.75,670.31,702.59,730.91,753.3,778.84,808.89,837.43,840.58,847.17,852.3,867.65,867.96,880.31,891.53,915.16,916.5,944.61,992.12,1058.19,1102.7,1129.33,1158.62,1191.55,1272.91,1324.63,1359.31,1373.25,1419.73,1490.47,1555.06,1701.39,1858.9,1987.95,2184.4,2580.38,2814.81
gin,Guinea,142.33,147.82,156,156.2,161.71,169.67,181.41,189.63,197.62,207.01,215.49,224.77,235.41,245.71,254.97,265.13,271.08,274.78,278.51,279.74,281.51,279.94,278.85,278.21,277.33,283.47,298.25,305.32,315.62,331.31,347.18,361.41,380.44,400.39,417.6,431.58,448.56,466.06,494.57,544.31,559.4,596.73,744.71,808.02
gmb,Gambia,15.2,15.43,15.65,15.96,16.34,16.73,17.53,18.24,19.16,20.03,22.17,23.53,25.66,25.86,25.49,29.7,27.91,28.04,31.1,34.88,32.96,31.96,33.13,35.15,40.66,44.45,45.09,46.94,46.31,50.01,52.01,50.16,53.91,57.29,64.99,65.08,74.36,89.2,92.86,105.42,104.87,113.24,134.01,143.81
gnb,Guinea-Bissau,30.32,30.61,30.72,30.75,31.39,31.69,32.35,33.07,33.9,35.18,36.2,36.94,37.5,38.03,39.22,38.47,43.65,42.93,39.41,39.52,39.71,41.23,42.94,44.92,47.23,52.57,52.59,55.15,60.85,63.48,67.62,72.72,79.96,86.03,89.68,96.22,105.16,113.83,123.94,137.41,133.94,133.14,167.88,185.88
gnq,Equatorial Guinea,17.59,18.03,18.09,18.11,18.31,18.84,18.17,18.18,19.99,20.96,21.73,22.91,23.9,24.8,24.68,25.96,26.84,29.45,31.04,33.29,35.38,36.81,37.35,37.86,39.37,42.7,45.28,48.74,53.42,57.32,56,56.83,65.58,75.63,87.36,86.33,90.03,106.49,117.81,124.75,132.36,158.29,198.76,229.83
grc,Greece,1384.66,1403.97,1452.51,1470.98,1508.03,1547.58,1614.51,1825.71,1872.26,1894.8,1981.1,2049.61,2111.38,2175.74,2218.76,2246.88,2260.09,2236.41,2230.48,2293.92,2394.54,2459.88,2498.21,2521.05,2573.57,2559.64,2552.65,2451.98,2519.05,2348.92,2328.18,2257.33,2358.28,2382.49,2534.59,2705.38,2741.14,2810.41,2763.32,2844.3,2864.1,2932.48,2915.11,2892.87
grd,Grenada,10.21,10.29,10.34,10.35,10.39,9.69,9.83,9.97,10.16,10.59,10.57,10.61,10.57,10.53,10.78,10.75,11.12,11.44,11.97,11.79,11.95,12.07,12.81,13.07,12.84,12.75,13.25,14.16,14.65,14.91,15.37,15.84,16.54,16.54,16.79,16.57,16.7,16.74,17.11,17.85,17.6,18.35,18.9,19.77
gtm,Guatemala,90.12,95.93,99.36,95.97,106.15,97.58,95.68,102.47,113.12,109.09,118.27,121.93,139.65,157.78,161.7,165.86,161.69,162.94,183.74,195.74,220.5,222.76,233.92,246.03,272.75,279.46,301.86,287.64,313.95,334.22,366.97,385.03,412.32,422.76,429.04,467.61,481.01,525.76,538.03,533.59,547.95,589.78,618.15,627.5
guy,Guyana,40.86,40.81,40.44,39.88,39.18,38.9,37.99,36.68,37.21,37.08,40.8,39.52,39.22,39.44,38.33,38.35,42.92,44.33,42.9,48.3,57.37,53.07,54.69,52.39,53.69,56.27,56.29,61.11,62.78,63.69,65.25,68.6,72.44,73.03,74.95,73.38,70.47,69.35,73.97,75.43,87.69,97,98.67,108.18
hnd,Honduras,56.29,53.42,53.68,54.99,54.56,54.34,54.37,59.9,63.12,65.42,70.38,76.37,79.3,85.18,90.57,93.34,102.53,107.37,112.66,118.57,125.13,132.78,140.82,148.93,156.23,162.34,168.99,176.21,184.05,191.41,200.84,213.35,225.78,234.91,244.96,255.79,265.13,276.08,289.9,305.46,300.43,348.86,362.44,372.89
hrv,Croatia,685.73,704.79,725.04,743.66,759.05,775.96,799.35,803.41,840.73,850.65,883.06,887.34,886.49,880.64,887.57,911.49,870.51,900.67,912.01,932.81,944.09,944.65,940.73,956.48,955.01,984.97,956.92,955.36,973.21,1001.15,1037.34,1032.4,1090.03,1099.91,1116.74,1090.04,1050.92,957.13,894.17,857.97,831.49,802.34,808.57,759.71
hti,Haiti,280.56,284.9,289.22,294.33,291.87,305.35,306.35,306.92,307.55,305,311.65,305.37,317.3,322.04,319.18,330.33,337.03,356.43,348.75,367.7,378.72,395.85,408.09,424.27,444.04,455.19,475.23,504.64,527,548.15,556.77,579.61,615.04,658.74,690.91,724.12,764.85,816.32,885.73,951.18,976.34,1086.78,1205.73,1305.1
hun,Hungary,1794.61,1870.26,1917.06,1886.03,1912.46,1994.19,2044.65,2101.64,2090.94,2121.05,2151.07,2213.38,2267.72,2331.48,2356.67,2332.36,2408.38,2412.03,2452.23,2466.36,2435.2,2402.19,2384,2402.59,2386.43,2337.69,2278.58,2236.34,2263.05,2269.37,2234.84,2244.1,2241.83,2258.96,2243.92,2303.47,2302.47,2261.58,2257.24,2281.22,2323.33,2273.9,2244.43,2196.38
idn,Indonesia,4151.02,4357.79,4540.24,4708.69,4885.69,5053.37,5239.62,5423.23,5638.65,5893.99,6121.12,6328.57,6561.96,6810.87,7090.02,7364.3,7679.2,8043.38,8317.82,8581.58,8815.74,8977.37,9253.06,9622.57,11079.87,10663.98,11268.39,12029.59,12946.36,13880.73,14839.5,15806.03,16530.12,17194.02,17941,18790.11,19725.91,20734.53,21852.68,22975.89,24787.43,28048.17,26722.06,28287.57
ind,India,14018.28,14171.46,14603.68,15188.66,15972.73,16900.72,17996.06,19069.62,20201.79,21416.91,22469.96,23243.73,23397.58,23347.63,23546.01,24584.39,26440.04,28401.35,30149.6,31124.25,32054.85,33150.46,34155.05,34669.22,35228.49,36432.62,38566.62,41121.33,42560.45,44221.91,46616.35,48146.87,50572.53,54452.94,59584.86,64380.7,68442.26,72066.83,74875.06,78023.58,82991.9,90514.72,95379.61,101620.78
irl,Ireland,626.55,598.78,614.01,612.95,619.16,637.44,644.14,670.1,687.51,722.25,706.31,726.36,729.69,731.39,730.2,726.06,730.62,714.79,717.64,734.19,740.97,740.08,719.12,721.37,735.23,746.42,747.96,723.47,752.86,734.48,723.38,734.97,745.8,759.66,764.01,765.98,793.73,797.15,805.66,787.8,807.37,771.84,869.42,934.05
irn,Iran,636.38,648.95,669.47,698.61,734.38,770.13,812.3,862.66,921.99,987.2,1044.17,1082.19,1148.42,1203.1,1252.93,1305.05,1362.22,1419.39,1485.95,1560.71,1650.99,1739.37,1830.86,2047.89,2031.38,2152.87,2279.74,2418.76,2556.96,2713.49,2867.77,3018.85,3110.23,3256.74,3402.33,3591.29,3818.71,4015.16,4105.75,4261.34,4254.55,3990.06,3973.04,4167.05
irq,Iraq,406.52,420.64,440.21,458.77,485.96,512.14,538.24,566.61,598.83,629.81,666.74,684.87,719.22,757.84,794.34,834.78,876.47,927.89,990.55,1058.65,1129.55,1199.88,1271.81,1337.01,1421.92,1505.58,1600.71,1704.96,1803.14,1906.75,2044.89,2197.34,2341.03,2463.3,2617.12,2739.26,2875.76,3028.72,3232.95,3512.52,3758.63,4020.25,4301.78,4548.76
isl,Iceland,29.69,30.06,32.33,33.72,35.75,35.07,33.81,36.69,38.26,39.37,40.29,40.36,41.94,43.02,43.85,45.21,43.48,43.72,44.01,42.69,41.21,39.81,41.15,40.97,41.53,41.63,42.79,44.6,45.49,44.01,41.54,43.43,46.21,48.74,49.83,51.06,51.3,49.57,49.09,50.82,49.41,50.47,54.62,55
isr,Israel,603.5,592.63,621.99,677.63,675.85,672.33,690.39,706,724.47,726.65,750.28,816.64,879.7,926.4,967.16,1056.68,1060.27,1073.71,1205.32,1133.74,1128.1,1126.68,1139.38,1149.55,1140.27,1137.45,1135.62,1161.01,1174.84,1129.66,1119.54,1148.45,1166.64,1183.92,1179.6,1200.24,1229.24,1255.36,1281.47,1315.34,1317.45,1350.83,1391.05,1392.69
ita,Italy,11062.49,11293.13,11414.01,11866.88,11881.96,12273.71,12423.36,12569.33,12831.71,12917.86,13105.56,13338.48,13133.38,13394.39,13457.28,13506.44,13581.15,13501.52,13431.01,13390.24,13569.15,13780.29,13626.63,13829.6,12993.9,13325.33,13336.22,13785.36,14075.29,14103.29,13902.19,13838.85,14092.48,13845.37,13992.91,14743.02,14395.87,14921.64,14781.73,14825.34,15108.26,14713.66,15172.3,14713.49
jam,Jamaica,162.12,168.58,174.11,185.22,205.02,201.6,188.44,192.61,195.9,192.03,187.12,189.21,191.13,195.8,202.55,216,240.61,256.51,269.19,280.29,295.04,302.38,289.58,293.01,286.67,274.28,273.67,283.81,301.27,306.5,322.15,333.02,353.58,379.79,401.34,413.11,426.36,433.62,440.03,447.77,457.61,486.15,473.27,484.41
jor,Jordan,60.72,63.15,65.66,68.75,74.23,79.02,83.14,90.98,97.9,107.17,115.28,123.04,132.98,139.42,148.45,156.21,163.59,173.3,183.48,194.03,208.01,223.98,236.97,244.42,268.3,304.65,336.44,350.22,368.57,396.87,427.56,464.54,497.49,528.06,564.69,596.42,633.72,675.2,716.81,766.63,843.12,987.17,922.54,962.93
jpn,Japan,4863.85,4981.21,4982.14,5149.06,5415.94,5607.43,5743.66,5878.09,6230,6383.19,6617.85,6934.38,7248.85,7578.55,7898.11,8416.65,8631.78,9007.12,9314.77,9778.39,9967.78,10315.89,10432.02,10725.53,11223.54,11617.49,11863.87,12171.33,12612.11,12722.52,13417.19,13767.15,13923.11,14362.76,14614.88,15029.11,15489.35,16069,16529.28,16897.19,16872.31,17311.17,18647.78,19578.74
kaz,Kazakhstan,1298.55,1280.37,1298.29,1359.48,1489.96,1529.52,1536.12,1612.83,1660.1,1705.04,1637.45,1330.58,1300.24,1317.22,1365.56,1356.22,1397.72,1407.08,1403.08,1456.09,1458.38,1454.37,1478.29,1455.48,1430.9,1467.3,1503.58,1511.96,1571.6,1570.24,1607.42,1634.44,1654.43,1528.56,1412.77,1379.77,1361.58,1348.35,1356.3,1346.27,1410.3,1459.99,1213.66,1270.97
ken,Kenya,580.38,604.47,629.94,653.62,678.21,706.14,730.91,749.23,766.61,771.92,778.15,786.28,798.24,816.79,840,868.53,907,951.06,1007.79,1067.06,1148.43,1178.43,1231.79,1252.36,1330.15,1378.72,1430.09,1505.92,1609.95,1733.59,1874.29,2001.4,2124.26,2191.51,2256.79,2435.76,2613.52,2829.73,3038.12,3235.94,3368.47,3945.34,4150.29,4439.69
kgz,Kyrgyz Republic,235.24,240.01,248.43,258.93,276.05,280.28,285.85,282.45,286.34,287.22,288.32,286.55,299.2,311.85,330.01,317.45,310.12,304.85,290.4,290.64,251.14,247.49,251.73,263.68,260.68,253.12,262.99,266.78,270.17,278.43,271.8,289.65,281.79,274.37,288.84,290.38,284.64,293.94,308.05,280.91,248.34,282.06,293.02,328.32
khm,Cambodia,211.3,215.68,219.78,223.97,229.24,236.34,242.45,250.09,261.94,274.5,288.48,304.66,324.3,345.66,365.21,383.9,395.37,407.85,426.38,435.58,447.28,472.4,495.03,511.54,536.97,571.82,599.95,646.2,680.95,716.45,756.71,790.67,837.48,881.35,915.93,958.71,1002.44,1029.13,1074.84,1135.4,1194.93,1178.88,1303.6,1438.52
kir,Kiribati,2.04,2.02,1.99,1.95,1.93,1.92,1.94,1.97,2.02,2.09,2.15,2.22,2.28,2.37,2.52,2.71,2.85,3.01,3.21,3.42,3.63,3.81,4,4.16,4.32,4.49,4.65,4.82,4.99,5.16,5.3,5.42,5.53,5.65,5.76,5.91,6.09,6.3,6.71,6.8,7.08,7.63,8.02,8.42
kna,St. Kitts and Nevis,7.94,7.55,7.35,7.27,7.12,6.6,6.4,6.7,6.62,6.6,6.67,6.16,5.91,5.81,6.12,6.07,6.14,6.06,6.02,6.3,6.41,6.19,6.84,6.61,6.67,6.55,6.78,6.99,7.02,7.14,7.26,7.6,7.75,7.88,7.75,7.77,7.76,8.13,8.32,8.56,8.95,9.14,8.97,9.35
kor,South Korea,841.78,796.92,833.1,913.56,912.07,921.63,958.98,996.14,1005.97,1031.07,1067.73,1102.66,1123.28,1155.25,1212.37,1267.31,1333.59,1429.68,1470.41,1516.33,1547.59,1567.2,1639.74,1700.05,1758.05,1815.94,1858.7,1927.47,1997.43,2069.87,2160.45,2200.03,2291.14,2365.22,2415.25,2514.61,2590.8,2641.11,2749.74,2794.59,2880.78,2866.85,3012.73,3103.44
kwt,Kuwait,34.07,35.23,35.79,37.53,40.35,43.1,47.95,47.43,47.58,48.01,47.81,48.47,45.95,44.98,43.88,46.82,48.95,45.3,50.67,50.47,53.72,62.53,58.73,62.35,64.2,68.77,74.69,86.62,94.22,104.75,117.92,125.45,134.32,137.49,150.85,155.28,166.16,172.12,182.64,195.68,188.64,195.6,218.75,227.02
lao,Lao,87.17,88.82,90.58,92.14,93.82,96.29,98.64,101.43,105.04,109.71,115.92,121.87,128.44,136.66,145.07,150.64,157.77,164.99,174.1,181.41,187.5,196.68,205.41,214.62,224.28,236.84,250.5,268.41,287.05,312.8,339.55,369.68,393.88,430.81,466.42,508.86,547.23,584.65,622.51,665.41,714.81,741.06,839.47,897.3
lbn,Lebanon,107.43,111.48,114.34,119.02,122.79,127.93,132.88,137.9,141.95,145.44,148.92,151.16,157.63,163.12,171.28,178.89,187.07,195.81,202.18,216.39,226.33,236.5,243.76,252.66,261.21,272.37,290.08,312.1,336.37,359.64,381.49,420.72,464.15,509.57,545.59,557.92,539.66,552.91,625.05,786.83,937.42,583.7,736.07,766.61
lbr,Liberia,72.65,75.84,79.45,82.59,85.6,89.08,92.53,95.26,97.77,98.54,101.15,99.07,93.09,94.96,96.6,94.14,100.2,96.14,101.91,106.76,113.15,114.08,118.46,119.31,123.96,127.08,141,148.63,162.73,179.32,195.63,208.94,235,260.04,270.28,286.53,303.43,334.6,370.95,412.9,441.09,529.14,585.68,643.63
lby,Libya,58.32,61.26,63.75,66.35,69,71.7,75.02,78.53,82.79,88.2,93.82,100.34,106.33,112.74,118.91,124.44,130.97,137.55,148.27,159.78,169.1,179.56,189.62,200.97,216.56,234.35,249.32,261.79,274.5,288.96,303.63,323.14,339.71,343.36,357.81,365.74,368.36,386.65,406.76,429.48,467.6,549.16,489.99,507.52
lca,St. Lucia,10.93,10.94,11.07,11.11,11.18,10.89,11.33,12.02,12.65,12.79,14.09,14.11,14.13,13.94,14.26,14.09,14.73,14.31,13.99,14.54,15.12,15.59,16.32,16.3,16.85,16.52,16.76,17.05,17.55,18.42,19.75,20.37,21.5,21.08,21.13,21.38,20.55,21.13,22.31,22.74,23.17,25.38,25.49,27.5
lka,Sri Lanka,441.1,438.56,471.11,485.59,519.42,545.59,569.18,580.92,609.53,629.81,655.36,672.58,689.5,710.32,750.79,778.32,849.76,869.03,921.42,923.69,925.18,955.83,966.84,984.91,1182.59,1104.53,1176.01,1229.45,1297.38,1334.91,1399.38,1446.04,1488.57,1562.13,1619.2,1683.82,1746.12,1856.56,1885.99,1877.24,1882.24,2010.62,2622.89,2782.87
lso,Lesotho,69.01,70.81,72.48,73.92,75.34,76.89,78.68,80.37,82.31,84.01,85.58,86.62,86.47,86.35,85.88,85.64,87.5,90.22,91.45,93.67,97.41,122.75,144.83,130.05,117.8,98.7,81.75,74.45,76.67,83.6,89.03,94.4,97.41,100.4,103.39,106.45,108.49,111.22,114.1,116.46,115.48,128.61,141.34,146.76
ltu,Lithuania,361.83,423.46,448.6,410.29,429.26,512.8,559.35,574.54,581.85,608.8,624.8,634.18,643.91,590.9,568.31,556.84,581.31,598.93,574.6,568.2,583.13,589.95,604.85,635.77,622.42,620.88,592.33,613.05,632.76,648.92,635.37,612.11,606.86,605.1,589.62,595.18,570.69,563.97,574.86,592.03,587.07,583.55,588.36,569.01
lux,Luxembourg,90.12,93.58,96.35,92.47,96.12,98.37,97.63,97.77,100.54,99.41,102.35,102.02,95.93,99.83,101.98,102.08,96.13,94.71,92.12,92.82,95.37,97.23,94.49,95.89,93.04,92.36,96.36,93.88,97.89,100.29,103.16,99.83,98.43,101.22,101.19,103.08,102.61,102.51,103.13,103.98,104.31,99.32,103.37,111.41
lva,Latvia,394.34,418.36,416.46,436.92,459.74,462.58,491.01,500.12,493.05,515.47,534.06,553.25,570.54,591.98,588.29,562.55,478.67,453.11,446.67,459.74,465.42,460.58,471.98,463.65,468.57,462.86,469.97,455.37,476.6,482.9,473.21,475.7,463.38,459.66,461.14,463.45,459.07,448.01,439.05,442.45,450.81,457.41,451.75,425.79
mar,Morocco,488.86,509.57,540,559.51,586.78,614.56,635.18,661.48,683.42,713.58,746.92,777.14,801.06,828.93,857.9,882.12,917.28,944.65,992.06,1035.35,1086.59,1140.91,1187.5,1275.29,1359.91,1440.73,1525.82,1621.78,1724.62,1839.31,1955.31,2091.99,2232.52,2400.43,2553.8,2717.35,2913.7,3082.62,3324.1,3596.1,3931.81,4274.51,4386.54,4379.98
mco,Monaco,13.15,13.05,12.53,11.91,11.98,12.12,12.34,12.91,13.12,13.36,13.51,13.64,13.7,13.85,13.96,14.1,14.19,14.21,14.27,14.1,13.92,13.82,13.75,13.84,13.89,14.59,14.38,14.3,14.67,15.36,15.73,15.09,15.64,15.92,15.62,16.62,16.23,16.22,16.1,16.75,16.16,18.3,19.04,20.56
mda,Moldova,419.02,428.81,450.2,474.26,511.66,510.08,512.24,496.39,489.46,520.21,526.29,480.02,497.65,522.74,525.89,519.13,507.17,470.83,454.05,479.64,472.86,489.79,501.49,505.08,502.9,499.29,529.95,555.02,588.97,603.02,575.23,590.03,571.95,584,579.85,598.48,594.18,598.18,573.21,546.07,492.44,459.62,494.87,535.3
mdg,Madagascar,506.39,519.58,535.06,541.76,566.57,585.15,596.34,623.69,655.47,696.22,741.68,775.17,801.38,809.73,832.15,838.74,832.04,814.85,807.84,819.65,811.79,806.94,790.01,778.38,775.88,789.66,815.01,853.84,891.6,920.11,950.96,984.73,1018.99,1054.29,1093.17,1151.67,1222.21,1301.23,1408.45,1509.27,1483.85,1688.06,2179.33,2431.08
mdv,Maldives,3.21,3.19,3.13,3.15,3.22,3.31,3.43,3.57,3.73,3.96,4.19,4.54,4.89,5.21,5.49,5.97,6.53,7.07,7.43,7.88,8.37,8.88,9.34,9.83,10.42,10.7,11.12,11.57,11.98,12.39,12.81,13.27,13.62,14.02,14.39,14.94,15.47,16.21,16.94,17.81,18.22,18.6,19.32,19.8
mex,Mexico,1992.86,2064.59,2079.9,2157.91,2221.92,2346.87,2455.78,2595.13,2635.32,2700.53,2790.81,2943.19,3125.06,3288.73,3440.48,3603.25,3768.5,3886.12,4030.65,4101.34,4166.59,4310.86,4537.23,4686.29,4894.66,5002.15,5200.77,5367.94,5604.05,5591.36,5946.84,6139.48,6391.09,6442.56,6791.09,7187.93,7571.39,7981.42,8360.82,8671.65,8903.34,9336.16,8981.89,9124.63
mhl,Marshall Islands,2.1,2.13,2.15,2.16,2.16,2.18,2.21,2.24,2.27,2.32,2.38,2.46,2.54,2.61,2.69,2.77,2.86,2.97,3.1,3.22,3.42,3.51,3.68,3.85,4.01,4.16,4.3,4.46,4.63,4.82,5.01,5.2,5.39,5.59,5.76,5.92,6.1,6.27,6.43,6.59,6.87,7.47,7.54,7.82
mkd,North Macedonia,158.92,162.98,168.18,173.41,178.3,184.77,189.24,192.81,196.01,199.41,201.04,207.35,211.98,214.15,222.29,234.39,241.55,252,257.13,266.3,275.39,273.62,278.7,281.27,285.99,297.99,300.87,314.05,317.21,321.26,324.07,329.91,335.81,332.76,341.84,355.65,360.32,372.47,377.64,407.53,409.55,391.79,401.68,391.01
mli,Mali,323.82,300.76,338.16,344.61,350.8,361.04,369.97,373.77,377.04,384.2,388.14,394.78,400.45,407.72,411.95,421.92,431.63,432.53,440.59,446.08,455.87,462.98,480.84,503.25,535.48,565.86,616.25,679.67,732.02,789.74,843.53,901.86,930.93,994.02,1060.97,1186.73,1314,1425.23,1532.21,1621.87,1631.53,1817.95,2162.77,2360
mlt,Malta,76.58,74.63,78.77,77.91,79.94,81.18,77.46,77.06,80.28,81.53,82.4,85.75,86.4,91.18,93.64,94.73,91.86,88.22,92.95,92.15,95.99,92.06,87.52,88.08,88.19,90.69,93.25,91.66,89.97,94.98,93.69,93.42,91.61,93.02,92.37,93.93,92.7,91.45,98.57,100.78,104.98,110.97,111.46,110.37
mmr,Myanmar,1530.51,1571.89,1614.22,1658.68,1708.21,1763.25,1835.9,1913.51,2001.56,2098.26,2206.17,2337.81,2453.96,2569.1,2681.46,2803.4,2903.35,3023.58,3167.5,3276.02,3392.26,3481.47,3562.61,3625.75,3716.74,3806.03,3836.26,3881.14,4494.64,3958.6,4027.89,4134.43,4189.87,4360.13,4577.49,4761,5002.44,5236.62,5484.26,5837.56,6189.23,6872.82,6958.94,7463.31
mne,Montenegro,68.13,68.89,71.76,77.5,79.72,80.19,80.11,79.05,78.03,78.39,76.84,75.69,78.45,82.19,86.85,91.42,89.04,96.9,101.9,104.88,108.02,110.83,114.36,118.66,117.35,112.7,125.16,117.61,114.27,125.45,125.97,128.97,132.84,136.65,139.28,146.19,148.81,139.74,153.2,136.37,147.8,143.38,150.16,155.36
mng,Mongolia,23.19,24.44,25.44,26.48,27.27,27.8,28.56,29.63,30.54,32.86,35.36,38.31,40.64,42.25,43.83,47.21,50.68,52.82,54.3,55,55.95,56.05,55.32,55.07,55.09,56.27,57.77,59.58,61.8,64.04,65.91,67.97,70.54,72.93,74.37,75.23,74.75,76,77.06,76.41,78.52,91.7,91.12,93.23
moz,Mozambique,343.17,353.78,361.65,367.51,371.93,369.1,375.18,382.29,382.82,378.53,376.85,370.73,368.87,367.13,366.31,372.51,378.62,383.76,392.24,400.36,409.28,409.44,423.48,422.35,427.39,430.34,430.99,425.82,439.31,434.99,431.39,431.8,437.16,441.35,437.74,448.68,462.57,482.81,505.75,542.18,571.95,587.99,676.27,734.34
mrt,Mauritania,52.29,54.73,57.01,58.15,62.67,65.76,69.18,72.25,75.88,77.59,79.74,81.21,84.41,88.7,85.95,87.88,93.02,97.39,105.33,105.81,112.8,118.58,126.02,128.25,139.61,147.66,163.92,164.9,168.73,186.69,192.45,197.51,211.78,223.23,221.73,228.43,231.58,258.71,272.27,308.23,300.93,340.38,418.52,463.27
mus,Mauritius,53.61,45.16,37.01,32.57,36.93,36.99,42.37,43.84,41.71,42.42,47.66,47.37,57.28,67.01,71.04,69.65,72.77,78.28,85.37,97.2,102.63,109.81,114.07,120.36,124.82,127.49,122.64,123.41,132.08,134.99,136.36,147.98,154.76,165.87,166.2,178.45,186.95,192.52,192.83,197.45,206.25,219.89,228.61,236.16
mwi,Malawi,242.19,262.97,287.33,313.39,341,370.06,394.02,409.35,409.65,396.43,373.67,354.8,339.06,328.12,315.18,313.68,313.02,318.92,325.66,330.1,347.64,360.22,379.18,386.83,407.52,415.59,400.94,399.28,419,452.72,509.4,557.07,598.36,627.7,658.32,696.07,734.45,785.39,859.21,933.38,973.01,1248.71,1306.12,1445.55
mys,Malaysia,407.51,413.42,414.82,443.71,475.26,506.05,544.93,584.34,633.1,690.66,746.43,801.4,842.97,886.32,951.61,1002.63,1068.69,1131.31,1218.87,1283.73,1351.89,1422.02,1486.58,1546.62,1612.9,1683.2,1748.28,1831.82,1925.23,2011.65,2123.9,2217.56,2325.77,2483.51,2617.02,2768.57,2924.78,3055.45,3155.79,3161.97,3228.06,3635.38,3881.97,3925.7
nam,Namibia,57.87,59.94,61.97,64.09,66.53,69.36,72.77,75.81,79,82.68,86.12,89.52,91.4,90.69,89.01,85.48,83.09,82.14,82.8,85.51,89.33,91.53,96.51,105.9,107.18,107.43,110.69,125.11,145.93,160.77,173.72,190.14,208.08,219.61,221.36,226.84,235.46,248.47,274.31,301.18,311.82,354.04,360.46,379.41
ner,Niger,182.12,186.2,195.3,200.89,207.91,218.82,227.85,238.4,252.23,266.44,282.27,292.27,301.22,314,324.94,334.97,349.28,361.95,374.34,379.72,397.86,399.67,417.6,420.64,429.66,437.64,466.61,479.48,499.41,522.01,543.95,562.39,592.73,632.11,661.74,705.82,753.84,820.65,886.23,955.73,963.25,1052.24,1233.98,1336.65
nga,Nigeria,3958.44,4068.03,4188.88,4328.03,4446.6,4572.63,4665.61,4786.98,4900.7,5023.18,5159.03,5383.72,5333.85,5428.71,5489.99,5567.17,5710.74,5844.44,6051.45,6228.23,6563.97,6766.26,7118.05,7299.47,7619.84,7910.32,8257.32,8488.39,8837.46,9393.38,10071.88,10607.58,11531.04,12961.94,13748.09,14388.99,14737.44,15640.21,16430.88,17278.88,18303.57,19835.75,23707,26224.02
nic,Nicaragua,46.08,47.09,48.09,50.22,52.4,53.91,56.4,58.03,60.38,63.78,68.55,71.9,76.63,83.21,88.54,92.66,96.62,101.04,118.45,112.18,119.76,127.42,136.33,146.34,153.28,160.02,168.51,178.19,188.84,199.69,210.38,221.62,233.99,246.97,261.6,273.76,285.44,297.83,316.89,350.72,357.75,396.93,387.6,357.37
