geo,name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
nld,Netherlands,3061.75,3145.95,3198.95,3216.83,3266.08,3398,3471.98,3581.13,3699.29,3821.84,3859.91,3954.99,3994.18,4115.08,4082.15,4072.78,4146.86,4157.25,4193.23,4272,4191.87,4202.68,4220.33,4127.18,4007.27,3913.97,3880.78,3789.8,3833.32,3743.66,3778.07,3770.87,3805.91,3808.94,3737.28,3904.79,3885.44,3875.97,3870.9,3812.02,3768.49,3879.33,4025.01,4012.89
nor,Norway,748.36,751.29,758.56,750.76,779.63,801.52,830.91,824.73,857.29,860.45,864.29,854.08,890.48,919.42,931.71,922.82,932.57,897.08,873.14,863.85,878.61,875.78,862.51,841.84,813.19,808.5,796.61,775.01,755.21,782.95,781.06,741.57,763.94,753.59,755.89,722.68,730.24,716.68,746.73,719.04,691.79,662.86,688.47,722.28
npl,Nepal,243.78,249.67,254.77,259.39,265.54,273.35,283.23,295.65,312.24,331.65,350.94,374.49,392.4,403.49,419.7,435.61,453.48,476.97,497.41,516.09,535.97,552.01,567.27,585.86,600.73,615.1,627.03,637.4,649.94,672.17,683.27,695.77,714.79,745.11,782.58,803.8,849.96,889.89,931.05,982.99,1030.74,1183.37,1252.14,1411.73
nru,Nauru,0.99,1.01,1.01,1.01,1,1,1,1,1,1,1.01,1.03,1.04,1.06,1.07,1.09,1.1,1.13,1.16,1.2,1.23,1.26,1.28,1.3,1.32,1.33,1.34,1.35,1.38,1.42,1.47,1.52,1.58,1.65,1.73,1.81,1.91,2.01,2.13,2.24,2.46,2.9,2.75,2.85
nzl,New Zealand,537.51,541.67,551.93,566.88,573,595.56,600.35,635.01,655.85,661.98,663.49,649.51,642.3,645.29,649.9,684.64,728.3,712.5,701.2,696.68,685.23,686.6,688.17,699.53,693.83,690.02,671.27,685.36,684.03,697.61,696.77,695.64,683.2,677.72,688.38,720.88,732.93,743.21,757.01,750.63,729.12,776.51,823.71,867.64
omn,Oman,15.96,16.31,16.57,16.81,17.05,17.51,18.06,18.74,19.57,20.68,22,21.99,23.4,24.5,26.39,28.36,29.81,31.67,33.59,35.27,37.6,39.13,41.13,42.58,43.59,45.3,47.56,49.09,51.62,54.53,57.91,60.8,63.21,66.66,71,74.22,77.71,81.61,84.47,88.01,89.13,100.47,100,109.44
pak,Pakistan,4032.33,4153.95,4263.28,4363.96,4481.5,4593.88,4729.33,4870.95,5052.63,5283.86,5525.56,5762.97,5947.96,6138.87,6282.75,6460.36,6690.73,6967.62,7327.88,7684.34,8118.53,8453.86,8800.85,9061.96,9434.4,10167.62,10169.77,10735.74,11357.28,12045.52,12671.13,13194.79,13794.32,14672.18,15439.06,16200.15,17004.43,17822.45,18552.15,19719.41,21893.77,25253.95,24447.76,25169.01
pan,Panama,62.62,63.74,64.93,70.3,74.6,80.45,78.49,82.11,87.59,94.49,99.08,105.86,113.12,119.11,123.26,126.02,121.85,123.7,128.22,131.65,144.54,147.02,144.59,153.51,165.57,172.58,178.25,188.95,200.21,208.58,222.62,236.01,251.1,260.28,269.63,276.83,286.81,294.69,306.99,326.59,324.9,326.15,340.25,356.76
per,Peru,432.15,419.56,465.99,520.98,560.49,578.17,603.84,604.43,588.57,585.65,579.61,612.31,653.61,719.22,779.69,863.57,957.17,989.58,1033.31,1074.39,1073.86,1081.87,1101.1,1169.07,1223.9,1215.87,1202.94,1261.89,1329.68,1366.5,1409.45,1423.3,1443.26,1461.86,1472.34,1497.76,1610.14,1825.97,1990.99,2138.1,2153.65,2864.52,2703,2787.95
phl,Philippines,1931.04,2047.72,2166.22,2277.08,2421.74,2543.15,2672.73,2744.57,2821.36,2909.9,2988.79,3088.33,3232.39,3427.88,3621,3804.67,4010.37,4191.18,4376.72,4617.67,4890.82,5177.77,5425.53,5493.44,5581.69,5824.91,5993.59,6154.01,6446.46,6785.23,7112,7438.01,7839.66,8243.09,8598.04,9049.4,9528.98,9891.76,10257.45,10730.09,10818.69,12482.82,12509.63,12307.33
plw,Palau,1.63,1.64,1.65,1.65,1.66,1.68,1.71,1.73,1.79,1.88,2.01,2.12,2.23,2.34,2.48,2.62,2.74,2.85,2.97,3.07,3.17,3.28,3.38,3.5,3.61,3.68,3.7,3.7,3.7,3.72,3.75,3.77,3.86,3.93,4.1,4.27,4.4,4.48,4.61,5.1,5.43,6.02,5.75,5.86
png,Papua New Guinea,136.34,139.35,139.57,142.04,143.68,146.01,148.79,151.63,154.97,160.67,165.69,172.04,179.29,187.38,196.14,203.26,214.66,220.82,227.52,240.79,247.38,249.73,256.03,259.04,261.47,268.04,278.8,306.36,323.29,333.38,372.17,403.44,423.46,423.96,451.71,493.76,497.87,521.66,540.84,590.98,596.08,604.67,714.96,759.63
pol,Poland,4084.2,4197.92,4199.11,4276.34,4416.99,4514.86,4628.01,4663.27,4768.78,4857.04,5063.36,5140.04,5307.83,5407.88,5488.31,5697.14,5874.65,5981.6,6050.55,6189.29,6213.01,6290.5,6330.58,6475.22,6519.01,6694.36,6763.51,6770.62,6799.63,6761.68,6734.63,6792.82,6943.53,7116,7293.41,7653.58,7767.76,8111.33,8387.22,8518.16,8543.41,7920.34,8164.47,8079.48
prk,North Korea,580.11,595.63,610.22,624.14,641.19,658.93,679.04,697.47,717.64,744.62,771.06,807.09,839.06,868.22,900.34,925.46,952.75,979.62,1012.54,1053.34,1092.68,1135.14,1179.26,1230.39,1295.73,1362.24,1422.48,1478.28,1534.05,1592.61,1660.79,1725.26,1801.71,1853.38,1916.9,1985.61,2063.07,2144.29,2249.97,2353.63,2413.57,2512.61,2701.1,2775.21
prt,Portugal,1353.83,1371.96,1455.59,1500.61,1546.02,1582.71,1605.02,1646.54,1684.84,1737.08,1809.38,1875.96,1909.35,1901.34,1880.64,1920.83,1975.77,1973.97,1989.36,1973.63,1981.59,2005.09,1973.13,1972.67,1883.82,1969.81,2024.7,1998.18,2012.51,2009.93,2043.76,2009.91,2093.4,2031.31,1993.93,2044.24,2115.02,2094.67,2152.67,2202.23,2226.66,2101.91,2294.04,2236.8
pry,Paraguay,107.47,112.95,116.23,119.69,122.99,125.91,132.47,137.16,140.98,150.72,160.17,172.13,185.78,201.13,216.13,227.17,239.85,252.28,265.09,275.64,283.9,299.26,317.73,333.11,350.38,370.9,383.98,401.99,411.98,423.02,440.16,457.27,475.34,485.3,506,525.7,543.44,566.19,591.4,620.57,636.9,675.05,616.72,651.45
pse,Palestine,52.7,53.58,54.5,55.66,57.4,59.19,61.22,63.12,65.4,68.14,70.86,73.39,76.44,79.74,83.39,86.94,90.37,94.08,98.68,103.37,108.42,113.83,119.29,125.41,132.12,139.4,147.19,155.3,164.56,175.61,187.81,198.6,207.15,213.54,224.15,233.48,243.32,255.78,265.75,276.14,275.13,290.4,310.97,332.65
qat,Qatar,6.8,7.1,7.35,7.56,7.83,8.17,8.53,8.99,9.52,10.16,10.92,11.53,12.58,13.9,14.52,14.89,15.59,16.85,17.6,18.61,19.91,21.08,22.63,23.85,24.58,25.8,27.27,28.66,30.36,32.68,35.18,36.78,37.89,39.28,41.73,42.86,43.92,45.89,48.16,51.86,53.48,56.27,63.52,75.82
rou,Romania,1950.37,2009.15,2103.03,2152.77,2205.79,2266.08,2340.63,2395.96,2525.62,2567.53,2599.33,2646.05,2667.69,2724.97,2807.85,2949.09,2985.94,2993.96,3078.38,3204.27,3253.03,3321.53,3376.76,3393.88,3437.15,3481.69,3438.83,3409.01,3418.96,3517.22,3547.32,3548.1,3566.98,3670.16,3788.59,3923.04,3946.73,3997.03,3987.27,3922.03,3859.83,3940.45,3914.92,3782.14
rus,Russia,12009.65,11989.98,11912.16,12365.92,13844.28,15943.54,15692.46,15753.54,16151.24,16503.8,17286.32,17883.19,19064.49,20512.47,21325.12,21136.12,21267.52,21753.24,22145.6,22980.72,23534.11,23595.94,24160.21,24660.12,24792.63,24641.16,24324.13,24386.27,24801.66,25129.67,25523.29,25389.23,25280.16,25265.29,25170.68,25789.59,25306.35,24836.89,24695.48,24381.68,24258.93,23614.31,21977.43,22307.39
rwa,Rwanda,245.78,259.01,273.14,291.18,310.95,331.88,351.09,373.09,397.49,421.51,447.51,467.7,484.25,493.03,578.97,414.4,355.04,388.83,412.29,400.51,380.58,359.08,351.65,349.86,366.59,400.19,444.74,474.59,498.89,527.66,548.33,576.96,606.12,646.82,678.4,712.06,739.22,785.63,850.43,929.47,986.83,1073.89,1321.77,1510.07
sau,Saudi Arabia,184.4,187.1,187.18,186.8,187.11,188.65,192.69,198.48,206.6,218.99,233.26,251.27,272.34,296.74,322.65,340.75,359.15,381.8,406.92,434.74,468.35,504.17,545.17,587.59,629.99,687.97,755.62,825.22,894.42,952,994.88,1014,1013.01,998.09,1000.73,970.78,965.45,977.08,977.4,1014.13,1084.13,1145.14,1166.79,1149.16
sdn,Sudan,305.68,319.17,329.49,338.02,350.8,362.18,377.34,388.36,398.04,411.83,424.72,439.23,451.73,466.69,470.86,481.47,491.48,500.51,516.57,522.56,532.56,542.03,553.64,568.67,590.09,606.47,632.73,659.46,697.23,745.1,780.61,815.64,848.02,902.65,963.84,1025.51,1097.65,1174.57,1245.33,1340.98,1494.65,1611.39,1685.14,1751.85
sen,Senegal,129.07,133.36,137.5,143.04,150.89,160.07,165.09,173.05,183.88,204.24,209.65,222.88,232.63,240.92,250.24,252.54,267.43,268.34,278.5,287.58,278.45,379.5,387.79,359.48,381.81,389.89,393.01,429.4,471.92,506.41,481.62,501.9,489.3,519.54,570.9,574.21,642.05,681.13,707.95,829,817.62,846.35,1148.5,1307.02
sgp,Singapore,152.94,157.22,146.21,147.13,154.89,173.1,188.63,195.97,199.85,206.13,216.77,228.67,232.48,247.01,253.09,257.91,270.29,284.93,282.02,305.07,308.45,334.41,340.85,336.24,338.66,355.89,382.73,397.88,417.92,432.88,433.78,448.04,458.4,475.94,473.49,477.52,493.08,510.22,516.87,509.26,509.38,540.24,556.39,584.88
slb,Solomon Islands,9.56,9.77,9.97,10.14,9.96,10.1,10.44,10.72,10.83,11.31,11.7,12.54,12.87,13.54,14.35,14.79,15.56,16.66,17.62,18.28,19.61,19.92,20.43,21.19,21.79,23.25,24.82,25.38,25.9,29.64,30.87,36.91,41.1,45.1,50.78,54.16,55.61,59.69,63.36,68.96,74.48,78.28,89.52,95.4
sle,Sierra Leone,109.92,114.29,119.58,125.2,131.74,138,144.24,151.04,157.35,163.9,170.26,175.68,182.66,185.56,190.62,192.86,190.51,184.19,186.94,182.19,181.77,175.78,177.77,180.22,181.86,188.92,200.47,204.48,209.36,220.13,238.95,253.28,276.63,293.68,308.84,324.86,339.26,362.82,380.11,404.86,414.83,441.29,490.9,544.47
slv,El Salvador,95.29,101.77,109.16,112.77,118.23,122.05,124.48,127.07,130.68,139.59,141.1,148.85,153.45,159.86,166.37,177.61,188.34,200.88,211.46,220.53,231.14,242.9,252.21,263.29,271.93,278.93,287.15,298.17,309.03,314.37,324.19,330.75,357.83,375.84,396.07,409.91,416.64,430.48,451.11,475.09,497.97,548.03,567.29,596.22
smr,San Marino,3.08,3.18,3.26,3.32,3.39,3.45,3.34,3.33,3.39,3.33,3.32,3.34,3.35,3.47,3.55,3.72,3.86,4.03,4.24,4.5,4.45,4.63,4.6,5.05,4.62,4.68,4.72,4.74,4.8,4.82,4.95,4.95,5.06,4.87,4.86,4.81,5.34,5.66,5.61,5.76,5.42,5.65,5.41,6.15
som,Somalia,54.94,60.84,63.3,65.28,69.19,71.43,74.32,77.94,81.22,84.47,87.3,89.93,94.36,94.57,97.92,99.16,102.13,105.74,109.78,114.35,121.7,126.3,131.93,136.46,143.91,151.57,158.63,167.31,173.89,183.72,192.31,200.43,207.37,215.73,229.84,246.02,264.73,283.5,303.77,327.76,313.58,374.15,397.81,433.35
srb,Serbia,1247.47,1264.57,1268.83,1341.44,1343.87,1348.01,1359.64,1393.75,1418.75,1479.68,1512.06,1581.59,1632.66,1700.98,1768.9,1825.64,1901.67,1964.32,2029.23,2084.52,2128.97,2051.68,2105.64,2117.45,2149.38,2197.39,2164.89,2203.45,2217.04,2243.14,2274.3,2270.8,2286.01,2273.66,2302.79,2356.59,2322.32,2389.56,2348.15,2353.91,2394.65,2400.4,2361.24,2392.82
ssd,South Sudan,180.4,182.68,187.59,190.34,190.45,213.76,220.96,225.22,226.57,233.18,233.33,235.71,242.62,246.11,249.6,257,254.74,238.65,244.27,246.59,254.47,245.91,248.31,262,275.41,282.3,307.39,319.58,331.5,352.29,371.44,390.51,413.76,443.13,481.69,518.74,541.18,547.89,564.14,590.68,606.93,615.13,763.72,815.95
stp,Sao Tome and Principe,3.15,3.22,3.29,3.36,3.46,3.57,3.64,3.79,3.86,3.92,3.98,3.9,3.91,3.92,3.93,3.75,3.78,3.85,4.04,4.27,4.17,4.43,4.64,4.82,5.05,5.53,6.05,6.43,6.79,7.29,8.07,8.44,8.78,9.51,10.68,11.49,12.31,13.22,14.09,15.02,16.59,17.38,18.04,19.21
sur,Suriname,17.14,17.06,17.26,17.66,18.09,18.45,19.04,19.65,20.13,20.39,20.96,21.39,22.26,22.87,23.94,24.7,26.21,27.25,27.84,28.48,27.98,28.74,30.59,32.22,33.9,35.48,37.08,38.97,40.68,42.68,44.87,47.33,49.66,50.92,52.44,53.94,54.94,55.84,56.79,58.43,59.49,67.14,62.03,64.45
svk,Slovak Republic,546.29,552.13,564.72,571.32,587.44,599.18,619.89,630.02,648.18,669.52,681.56,696.75,710.83,732.28,761.31,782.05,795.47,809.66,826.15,835.78,845.63,847.1,838.14,834.86,835.72,848.37,860.32,870.69,881.36,892.16,920.54,937.22,964.26,987.16,1005.72,1043.87,1065.64,1090.48,1094.46,1098.79,1115.68,1127.64,1117.77,1101.79
svn,Slovenia,289.72,291.11,293.79,291.71,310.26,325.95,333.07,337.09,342.02,345.37,358.9,373.84,392.8,407.98,398.24,401.44,394.88,403.75,415.79,420.26,418.91,431.86,446.7,427.1,425.83,429.97,434.31,433.14,449.92,453.9,444.41,431.29,426.65,434.1,427.29,438.56,434.97,453.75,466.64,468.1,485.86,459.4,480.18,475.66
swe,Sweden,1592.51,1594.68,1597.4,1589.24,1596.81,1621.61,1611.59,1631.39,1692.88,1675.66,1667.82,1684.15,1697.01,1706.58,1652.83,1701.95,1727.01,1737.29,1752.75,1745.88,1747.34,1747.74,1760.29,1759.32,1780.6,1775.18,1754.88,1730.01,1721.71,1640.95,1665.82,1669.3,1715.36,1716.46,1685.91,1703.61,1698.61,1720.01,1716.77,1663.12,1671.85,1622.01,1693.78,1733.8
swz,Eswatini,36.98,38.16,39.25,40.29,41.55,43.05,44.88,47.07,49.84,53.19,56.75,60.14,63.22,64.19,63.37,59.74,55.1,50.31,46.21,43.87,43.29,46.24,48.76,55.44,63.96,70.11,71.4,67.94,65.9,66.72,67.69,68.43,68.2,67.17,65.53,64.15,65.09,68.13,71.91,76.2,86.92,95.28,97.92,100.43
syc,Seychelles,3.18,3.27,3.33,3.42,3.49,3.52,3.66,3.8,4,4.23,4.5,4.8,5.08,5.39,5.72,6.06,6.46,6.9,7.32,7.71,8.09,8.39,8.73,9.03,9.3,9.5,9.6,9.85,10.08,10.34,10.53,10.67,10.75,10.95,10.91,10.9,11.06,10.95,10.91,11.23,10.92,12.49,12.35,13.5
syr,Syria,131.53,138.46,144.98,151.42,161.23,164.84,173.89,183.7,194.99,207.4,219.54,234.61,250.72,266.73,280.79,294.11,309.19,322.3,330.17,347.83,376.33,400.84,417.75,443.03,448.29,463.47,475.74,499.23,528.11,551.6,583.34,602.45,607.79,606.7,605.33,605.45,617.7,640.3,656.7,682.52,679.8,667.28,743.59,769.72
tcd,Chad,200.43,204.15,208.37,213.4,219.48,223.51,226.63,230.62,233.11,236.69,248.71,250.22,250.58,256.33,249.86,243.92,249.32,252.94,254.17,257.39,264.41,271.5,276.59,281.86,289.48,302.05,314.44,330.23,346.06,366.93,387.67,403.82,416.79,434.16,450.43,474.28,499.87,523.09,554.38,585.81,603.93,621.95,757.41,822.73
tgo,Togo,93.88,96.48,100.06,103.64,106.49,111.08,114.46,118.05,123.16,127.39,132.32,135.91,138.81,140.86,141.82,143.52,145.07,147.31,153.55,157.49,166.47,170.94,177.54,182.85,190.83,200.73,214.71,218.95,239.42,266.58,295.88,320.32,337.74,356.91,371.44,401.45,447.34,508.62,551.93,602.77,628.07,693.68,815.64,884.1
tha,Thailand,1767.24,1887.87,2025.25,2127.69,2160.92,2200.8,2307.46,2451.38,2630.88,2852.87,3066.89,3303.88,3557.94,3788.28,4072.92,4316.82,4270.88,4081.36,4448.81,5353.64,6041.34,6475.03,6600.28,6839.26,7101.24,7169.03,7382.3,7636.07,7757.85,7801.36,7994.27,7911.35,7777.21,7773.52,7788.43,7890.89,7988.54,7792.7,7765.95,8075.46,8169.76,8449.1,9046.88,9161.3
tjk,Tajikistan,164.15,170.67,178.25,186.79,192.19,195.59,201.61,206.07,213.23,221.35,228.8,243.74,251.74,268.57,261.5,247.35,228.82,217.36,213.09,210.02,209.04,212.62,217.36,225.84,225.99,221.87,216.3,212.91,210.06,210.2,211.87,212.73,217.16,220.9,233.32,250.96,268.61,288.85,303.79,334.06,326.85,363.4,450.32,481.3
tkm,Turkmenistan,113.68,114.77,119.67,123.61,128.74,132.92,141.41,145.9,145.5,154.07,156.09,136.37,136.2,149.92,174.49,183.16,190.94,186.14,179.63,159.36,144.61,147.09,151.64,154.92,155.88,162.29,178.67,190.75,191.22,202.31,222.76,238.7,254.45,266.16,275.24,271.69,278.73,291.02,299.72,310.31,319.14,339.85,341.03,347.17
tls,Timor-Leste,11.73,11.89,11.99,12.06,12.21,12.56,12.98,13.49,14.13,14.84,15.95,16.82,17.87,18.86,19.7,20.72,21.61,22.28,23.12,23.41,24.87,25.63,25.79,27.04,26.39,28.48,29.73,31.63,32.38,35.81,38.79,44.61,48.83,51.28,53.62,57.05,60.35,64.03,67.33,70.85,76.37,79.64,84.04,90.33
ton,Tonga,6.01,6.15,6.26,6.36,6.44,6.55,6.67,6.8,6.97,7.2,7.41,7.66,7.88,8.13,8.38,8.63,8.87,9.1,9.39,9.7,9.98,10.24,10.48,10.77,11.15,11.42,11.67,11.86,12.1,12.86,12.65,12.94,13.23,13.55,13.84,14.2,14.66,15.12,15.61,16.14,17.21,19.66,19.29,20.3
tto,Trinidad and Tobago,97.09,93.58,91.82,97.96,106.86,106.5,115.44,122.39,122.14,118.64,123.3,121.2,123.13,130.38,137.71,143.22,147.49,144.79,141.86,140.05,143.54,144.32,154.8,153.5,162.78,162.88,166.01,176.54,178.13,183.42,193.08,197.45,202.03,207.29,213.35,219.61,224.29,231.2,238.33,246.98,256.47,278.96,282.08,298.84
tun,Tunisia,292.55,302.91,315.3,328.32,344.65,363.49,382.18,405.51,428.1,452.7,480.02,511.61,536.96,568.23,600.92,622.57,652.56,682.92,720.77,759.17,787.29,817.71,844.56,874.04,897.73,918.43,940.38,967.84,997.02,1026.44,1055.27,1090.13,1127.13,1156.26,1196.16,1244.08,1294.33,1363.31,1423.83,1513.96,1510.27,1424.99,1673.91,1971.18
tur,Turkey,1549.94,1662.76,1741.31,1800.26,1871.4,1958.72,2056.86,2159.26,2297.14,2482.32,2649.58,2772.72,2912.53,3059.09,3185.01,3301.93,3366.43,3484.23,3609.22,3571.36,3754.83,3834.44,3991.25,4046.1,4106.35,4301.29,4511.71,4579.05,4444.96,4098.65,4066.34,4257.99,4423.43,4711.09,5014.32,5253.6,5493.73,5645.41,5700.02,5957.03,6231.69,6894.83,6833.74,6829.39
tuv,Tuvalu,0.79,0.8,0.81,0.8,0.8,0.81,0.82,0.83,0.85,0.88,0.93,0.97,1.01,1.04,1.09,1.12,1.16,1.19,1.25,1.29,1.33,1.37,1.4,1.43,1.45,1.48,1.52,1.55,1.58,1.61,1.63,1.65,1.68,1.7,1.71,1.72,1.76,1.76,1.78,1.82,1.84,1.94,1.87,1.88
tza,Tanzania,800.56,844.22,877,915.36,944.69,970.36,991.16,1003.44,1014.28,1012.22,1008.62,1025.38,1060.33,1079.29,1110.8,1148.35,1196.51,1263.03,1307.66,1330.52,1370.07,1419.13,1470.72,1507.78,1552.09,1580.02,1633.59,1725.56,1804.59,1845.46,1935.07,2003.72,2107.82,2220.4,2243.64,2257.13,2240.65,2281.75,2305.72,2326.88,2402.66,2785.96,2521.95,2848.99
uga,Uganda,579.48,541.43,621.73,609.93,580.57,545.77,527.28,526.43,531.27,576.41,606.32,666.65,698.55,743.54,790.57,831.99,875.64,917.4,967.77,1015.66,1098,1126.91,1158.74,1178.04,1212.24,1260.7,1314.91,1353.28,1410.39,1467.26,1497.69,1566.53,1726.66,1929.09,2050.32,2201.78,2311.65,2468.33,2668.01,2871.42,3042.08,3591.31,3927.48,4387.49
ukr,Ukraine,5554.7,5589.63,5720.04,5947.14,6325.6,6384.08,6411.69,6504.61,6763.92,7152.68,7611.36,8078.9,8506.21,9008.88,9289.7,9408.6,9267.18,9025.98,8918.28,9165.84,9393.95,9490.87,9757.44,10005.98,9767.75,8763.6,8511.18,8371.05,8406.03,8474.67,8427.69,8316.12,8455.81,8497.65,7830.53,7354.48,7263.74,7353.16,7133.23,7193.71,7412.9,6875.98,6634.52,6668.8
ury,Uruguay,618.71,624.87,614.12,640.27,669.96,684.96,703.9,716.43,756.3,746.24,755.24,758.17,763.28,776.21,783.45,791.46,799.73,804.28,833.04,824.67,826.95,805.15,822.9,827.09,842.6,867.97,866.41,849.36,823.3,831.58,848,858.27,842.64,852.42,845.12,871.73,890.48,878.2,910.25,921.63,852,934.18,1042.41,990.94
usa,USA,41167.87,42083.7,42836.36,44051.1,45295.87,46403.05,47148.26,47735.54,48916.38,48848.56,48852.02,49146.98,48958.24,50116.01,50044.39,50263.35,49680.71,48689.74,48370.4,48773.82,48872.23,48713.22,48932.03,48947.98,48022.69,48510.47,47945.27,47660.53,48485.95,48188.74,48745.75,49072.87,49241.15,49506.29,49673.47,50505.02,50510.46,51222.98,51251.98,51066.75,52210.61,51622.85,52311.15,52158.79
uzb,Uzbekistan,663.53,676.31,694.92,707.26,737.51,736.74,787.73,819.9,847.17,864.17,874.82,891.02,937.1,1005.09,1024.19,1023.42,1038.33,1028.29,1059.83,1090.07,1124.42,1124.81,1134.29,1151.84,1035.91,1042.47,1092.95,1149.07,1203.69,1214.84,1271.91,1312.35,1374.7,1461.07,1526.47,1611,1701.71,1837.2,1844.17,1819.56,1732.89,1692.18,1797.37,1854.1
vct,St. Vincent and the Grenadines,8.11,8.33,8.55,8.85,9.35,9.04,8.51,9.18,9.57,10.03,10.47,10.86,11.23,11.59,12,12.08,12.2,12.1,11.77,12.01,12.52,13.21,13.26,13,13.51,13.45,13.15,13.36,14.42,15.08,15.89,17.31,18.39,18.6,18.57,18.48,18.63,18.96,19.41,20.43,20.2,19.36,20.21,21.44
ven,Venezuela,451.09,481.95,505.74,557.22,573.73,585.41,636.57,674.59,709.62,734.6,803.38,857.94,917.06,943.08,1008.89,1045.86,1060.59,1093.22,1112.86,1243.48,1198.86,1272.46,1358.49,1455.95,1528.9,1558.46,1583.16,1643.52,1717.88,1832.99,1943.18,2098.81,2216.99,2279.69,2431.35,2615.17,2771.27,2915.05,3207.25,3519.05,3645.6,3758.21,3966.12,4108.45
vnm,Vietnam,1346.68,1381.69,1411.97,1439.02,1467.84,1498.59,1537.24,1579.94,1635.03,1700.14,1765.59,1850.29,1945.43,2040.85,2140.26,2234.59,2333.5,2443.28,2563.75,2652.01,2749.31,2865.83,3002.89,3158.03,3328.19,3510.49,3700.54,3932.19,4179.28,4435.44,4709.72,4961.39,5211.39,5478.68,5757.62,6059.06,6370.2,6630.49,6908.05,7223.14,7487.71,7553.16,8023.8,8546.45
vut,Vanuatu,2.77,2.84,2.93,2.89,2.93,2.99,3.08,3.17,3.32,3.46,3.66,4.07,4.41,4.71,5.31,5.3,5.68,5.93,6.24,6.67,6.47,6.97,6.52,6.31,6.62,7.52,8.09,8.97,9.72,10.08,10.58,11.55,12.2,12.98,13.8,14.5,15.27,16.09,17,17.9,18.9,19.22,21.45,23.11
wsm,Samoa,4,4.05,4.07,4.06,3.94,3.98,4.04,4.12,4.23,4.38,4.52,4.71,4.89,5.08,5.28,5.52,5.79,6.06,6.37,6.67,6.95,7.25,7.53,7.76,7.96,8.11,8.25,8.33,8.4,8.47,8.46,8.52,8.57,8.67,8.77,8.92,9.13,9.38,9.65,10.3,10.3,11.18,11.72,12.69
yem,Yemen,95.21,97.13,99.27,101.23,103.64,105.91,108.82,111.35,113.75,116.88,120.37,123.26,126.86,129.73,133.99,136.62,140.38,144.89,149.51,158.82,166.73,174.75,182.82,195.29,212.36,227.52,243.1,256.79,280.2,296.51,306.63,329.49,344.68,375.43,403.3,429.37,447.93,476.28,490.24,518.1,538.64,558.56,638.49,711.72
zaf,South Africa,1413.16,1446.9,1478.21,1484.74,1483.53,1553.03,1526.69,1532.15,1641.3,1679.71,1807.23,1897.37,1932.24,2178.28,2335.74,2503.23,2751.11,2693.51,2784.71,2736,2674.83,2659,2650.16,2660.74,2643.87,2806.9,3053.66,3326.04,3632.18,4043.01,4401.78,4748.48,5046.02,5368.98,5655.52,5846.86,5981.41,6116.14,6284.3,6097.68,5726.93,5849.51,6538.62,7301.55
zmb,Zambia,290.33,304.79,316.52,330.51,344.63,360.43,369.52,376.42,377.95,372.19,365.28,362.94,360.5,360.9,363.05,368.54,377.73,387.38,397.55,409.95,423.48,455.18,464.92,466.71,473.04,499.78,532.08,563.71,626.87,687.36,731.67,780.09,814.13,842.76,881.64,942.11,1011.17,1082.16,1148.43,1243.98,1347.81,1563.37,1751.87,1977.99
zwe,Zimbabwe,211.42,219.72,227.01,233.07,239.27,244.42,247.16,241.64,230.12,216.72,206.89,207.27,227.18,236.72,261.68,280.98,305.11,333.64,358.59,381.19,399.57,438.78,480.75,523.25,544.47,535.04,522.85,497.96,524.59,533.16,542.16,604.17,634.76,644.57,650.17,676.6,700.14,704.98,732.28,757.87,772.53,920.94,800.93,814.82
